###########Mycenaean and Early Classical Greece###########

###########Empire Titles###########
emperor_hellenic;Wanax;;;;;;;;;;;;;x
emperor_female_hellenic;Wanaxia;;;;;;;;;;;;;x
emperor_dorian;Hegemon;;;;;;;;;;;;;x #placeholder
emperor_female_dorian;Hegemonia;;;;;;;;;;;;;x #placeholder

e_greek_empire;Pan-Akhaios;;;;;;;;;;;;;x
e_greek_empire_adj;Akhaios;;;;;;;;;;;;;x

###########Kingdom Titles###########
king_hellenic;Basileos;;;;;;;;;;;;;x
king_female_hellenic;Basilissa;;;;;;;;;;;;;x
king_dorian;Basileus;;;;;;;;;;;;;x #placeholder
king_female_dorian;Basilissa;;;;;;;;;;;;;x #placeholder

kingdom_of_acheaen;Témenos;;;;;;;;;;;;;x

k_achaea;Akhaïa;;;;;;;;;;;;;x
k_achaea_adj;Akhaios;;;;;;;;;;;;;x
k_lakonia;Lákonia;;;;;;;;;;;;;x
k_lakonia_adj;Lákon;;;;;;;;;;;;;x
k_attica;Attica;;;;;;;;;;;;;x #central greece
k_attica_adj;Attican;;;;;;;;;;;;;x #central greece
k_aiolia;Aiolía;;;;;;;;;;;;;x
k_aiolia_adj;Aiolikós;;;;;;;;;;;;;x


###########Duchy Titles###########
duke_hellenic;Koreter;;;;;;;;;;;;;x
duke_female_hellenic;Koretera;;;;;;;;;;;;;x
duke_dorian;Arkhon;;;;;;;;;;;;;x #placeholder
duke_female_dorian;Arkhousa;;;;;;;;;;;;;x #placeholder

d_achaea;Akhaïa;;;;;;;;;;;;;x
d_achaea_adj;Akhaean;;;;;;;;;;;;;x
d_salamis;Salamína;;;;;;;;;;;;;x
d_salamis_adj;Salamite;;;;;;;;;;;;;x
d_elis;Elis;;;;;;;;;;;;;x
d_elis_adj;Elisite;;;;;;;;;;;;;x
d_arcadia;Arkadia;;;;;;;;;;;;;x
d_arcadia_adj;Arkadian;;;;;;;;;;;;;x
d_argolis;Argolís;;;;;;;;;;;;;x
d_argolis_adj;Argeios;;;;;;;;;;;;;x
d_lacedemonia;Lakonía;;;;;;;;;;;;;x
d_lacedemonia_adj;Lakon;;;;;;;;;;;;;x
d_kythera;Kuthera;;;;;;;;;;;;;x
d_kythera_adj;Kutheran;;;;;;;;;;;;;x
d_messenia;Messenia;;;;;;;;;;;;;x
d_messenia_adj;Messenian;;;;;;;;;;;;;x
d_attica;Attica;;;;;;;;;;;;;x
d_attica_adj;Attican;;;;;;;;;;;;;x
d_boetica;Boetica;;;;;;;;;;;;;x
d_boetica_adj;Boetican;;;;;;;;;;;;;x
d_euvoia;Euvoia;;;;;;;;;;;;;x
d_euvoia_adj;Euvoian;;;;;;;;;;;;;x

###########Counties Titles###########
count_hellenic;Prokoreter;;;;;;;;;;;;;x
count_female_hellenic;Klawiphoros;;;;;;;;;;;;;x
count_dorian;Phularkhos;;;;;;;;;;;;;x #placeholder
count_female_dorian;Phularkhosa;;;;;;;;;;;;;x #placeholder

c_mycenae;Mykenae;;;;;;;;;;;;;x
